time,x,rho,u,p,T,energy
0.711887,0.265,0.0813745,1,10000,339.941,307222
0.711887,0.275,0.0814735,1,10000,339.528,306849
0.711887,0.285,0.0815736,1,10000,339.111,306472
0.711887,0.295,0.0816746,1,10000,338.692,306093
0.711887,0.305,0.0817766,1,10000,338.269,305712
0.711887,0.315,0.0818796,1,10000,337.844,305327
0.711887,0.325,0.0819836,1,10000,337.415,304940
0.711887,0.335,0.0820886,1,10000,336.984,304549
0.711887,0.345,0.0821947,1,10000,336.549,304156
0.711887,0.355,0.0823018,1,10000,336.111,303761
0.711887,0.365,0.0824099,1,10000,335.67,303362
0.711887,0.375,0.0825191,1,10000,335.225,302961
0.711887,0.385,0.0826294,1,10000,334.778,302556
0.711887,0.395,0.0827408,1,10000,334.327,302149
0.711887,0.405,0.0828533,1,10000,333.874,301739
0.711887,0.415,0.0829669,1,10000,333.416,301326
0.711887,0.425,0.0830816,1,10000,332.956,300910
0.711887,0.435,0.0831974,1,10000,332.493,300491
0.711887,0.445,0.0833144,1,10000,332.026,300069
0.711887,0.455,0.0834325,1,10000,331.556,299644
0.711887,0.465,0.0835518,1,10000,331.082,299216
0.711887,0.475,0.0836723,1,10000,330.605,298785
0.711887,0.485,0.083794,1,10000,330.125,298351
0.711887,0.495,0.0839169,1,10000,329.642,297914
0.711887,0.505,0.0840411,1,10000,329.155,297474
0.711887,0.515,0.0841664,1,10000,328.664,297031
0.711887,0.525,0.0842931,1,10000,328.171,296585
0.711887,0.535,0.0844209,1,10000,327.674,296136
0.711887,0.545,0.0845501,1,10000,327.173,295683
0.711887,0.555,0.0846806,1,10000,326.669,295228
0.711887,0.565,0.0848124,1,10000,326.161,294769
0.711887,0.575,0.0849455,1,10000,325.65,294307
0.711887,0.585,0.08508,1,10000,325.135,293842
0.711887,0.595,0.0852158,1,10000,324.617,293373
0.711887,0.605,0.085353,1,10000,324.095,292902
0.711887,0.615,0.0854916,1,10000,323.57,292427
0.711887,0.625,0.0856316,1,10000,323.041,291949
0.711887,0.635,0.0857731,1,10000,322.508,291467
0.711887,0.645,0.085916,1,10000,321.972,290983
0.711887,0.655,0.0860603,1,10000,321.432,290494
0.711887,0.665,0.0862062,1,10000,320.888,290003
0.711887,0.675,0.0863535,1,10000,320.34,289508
0.711887,0.685,0.0865024,1,10000,319.789,289010
0.711887,0.695,0.0866528,1,10000,319.234,288508
0.711887,0.705,0.0868048,1,10000,318.675,288003
0.711887,0.715,0.0869584,1,10000,318.112,287494
0.711887,0.725,0.0871136,1,10000,317.545,286982
0.711887,0.735,0.0872704,1,10000,316.975,286467
0.711887,0.745,0.0874288,1,10000,316.4,285947
0.711887,0.755,0.087589,1,10000,315.822,285425
0.711887,0.765,0.0877508,1,10000,315.24,284898
0.711887,0.775,0.0879143,1,10000,314.653,284368
0.711887,0.785,0.0880796,1,10000,314.063,283835
0.711887,0.795,0.0882466,1,10000,313.468,283297
0.711887,0.805,0.0884154,1,10000,312.87,282757
0.711887,0.815,0.0885861,1,10000,312.267,282212
0.711887,0.825,0.0887585,1,10000,311.66,281664
0.711887,0.835,0.0889329,1,10000,311.049,281111
0.711887,0.845,0.0891091,1,10000,310.434,280555
0.711887,0.855,0.0892872,1,10000,309.815,279996
0.711887,0.865,0.0894673,1,10000,309.191,279432
0.711887,0.875,0.0896493,1,10000,308.564,278865
0.711887,0.885,0.0898334,1,10000,307.931,278293
0.711887,0.895,0.0900194,1,10000,307.295,277718
0.711887,0.905,0.0902076,1,10000,306.654,277139
0.711887,0.915,0.0903978,1,10000,306.009,276556
0.711887,0.925,0.0905901,1,10000,305.359,275969
0.711887,0.935,0.0907845,1,10000,304.705,275378
0.711887,0.945,0.0909812,1,10000,304.047,274783
0.711887,0.955,0.09118,1,10000,303.384,274183
0.711887,0.965,0.0913811,1,10000,302.716,273580
0.711887,0.975,0.0915844,1,10000,302.044,272973
0.711887,0.985,0.0917901,1,10000,301.367,272361
0.711887,0.995,0.091998,1,10000,300.686,271745
0.949039,0.005,0.0791117,1,10000,349.664,316009
0.949039,0.015,0.0791885,1,10000,349.325,315703
0.949039,0.025,0.079266,1,10000,348.983,315394
0.949039,0.035,0.0793443,1,10000,348.639,315083
0.949039,0.045,0.0794233,1,10000,348.292,314770
0.949039,0.055,0.0795032,1,10000,347.942,314453
0.949039,0.065,0.0795838,1,10000,347.59,314135
0.949039,0.075,0.0796652,1,10000,347.235,313814
0.949039,0.085,0.0797475,1,10000,346.876,313490
0.949039,0.095,0.0798305,1,10000,346.516,313164
0.949039,0.105,0.0799144,1,10000,346.152,312835
0.949039,0.115,0.0799991,1,10000,345.785,312504
0.949039,0.125,0.0800847,1,10000,345.416,312170
0.949039,0.135,0.080171,1,10000,345.044,311834
0.949039,0.145,0.0802583,1,10000,344.669,311495
0.949039,0.155,0.0803464,1,10000,344.291,311153
0.949039,0.165,0.0804353,1,10000,343.91,310809
0.949039,0.175,0.0805252,1,10000,343.526,310462
0.949039,0.185,0.0806159,1,10000,343.14,310113
0.949039,0.195,0.0807075,1,10000,342.75,309761
0.949039,0.205,0.0808,1,10000,342.358,309406
0.949039,0.215,0.0808935,1,10000,341.962,309049
0.949039,0.225,0.0809878,1,10000,341.564,308689
0.949039,0.235,0.0810831,1,10000,341.163,308326
0.949039,0.245,0.0811793,1,10000,340.758,307961
0.949039,0.255,0.0812764,1,10000,340.351,307593
0.949039,0.265,0.0813745,1,10000,339.941,307222
0.949039,0.275,0.0814735,1,10000,339.528,306849
0.949039,0.285,0.0815736,1,10000,339.111,306472
0.949039,0.295,0.0816746,1,10000,338.692,306093
0.949039,0.305,0.0817766,1,10000,338.269,305712
0.949039,0.315,0.0818796,1,10000,337.844,305327
0.949039,0.325,0.0819836,1,10000,337.415,304940
0.949039,0.335,0.0820886,1,10000,336.984,304549
0.949039,0.345,0.0821947,1,10000,336.549,304156
0.949039,0.355,0.0823018,1,10000,336.111,303761
0.949039,0.365,0.0824099,1,10000,335.67,303362
0.949039,0.375,0.0825191,1,10000,335.225,302961
0.949039,0.385,0.0826294,1,10000,334.778,302556
0.949039,0.395,0.0827408,1,10000,334.327,302149
0.949039,0.405,0.0828533,1,10000,333.874,301739
0.949039,0.415,0.0829669,1,10000,333.416,301326
0.949039,0.425,0.0830816,1,10000,332.956,300910
0.949039,0.435,0.0831974,1,10000,332.493,300491
0.949039,0.445,0.0833144,1,10000,332.026,300069
0.949039,0.455,0.0834325,1,10000,331.556,299644
0.949039,0.465,0.0835518,1,10000,331.082,299216
0.949039,0.475,0.0836723,1,10000,330.605,298785
0.949039,0.485,0.083794,1,10000,330.125,298351
0.949039,0.495,0.0839169,1,10000,329.642,297914
0.949039,0.505,0.0840411,1,10000,329.155,297474
0.949039,0.515,0.0841664,1,10000,328.664,297031
0.949039,0.525,0.0842931,1,10000,328.171,296585
0.949039,0.535,0.0844209,1,10000,327.674,296136
0.949039,0.545,0.0845501,1,10000,327.173,295683
0.949039,0.555,0.0846806,1,10000,326.669,295228
0.949039,0.565,0.0848124,1,10000,326.161,294769
0.949039,0.575,0.0849455,1,10000,325.65,294307
0.949039,0.585,0.08508,1,10000,325.135,293842
0.949039,0.595,0.0852158,1,10000,324.617,293373
0.949039,0.605,0.085353,1,10000,324.095,292902
0.949039,0.615,0.0854916,1,10000,323.57,292427
0.949039,0.625,0.0856316,1,10000,323.041,291949
0.949039,0.635,0.0857731,1,10000,322.508,291467
0.949039,0.645,0.085916,1,10000,321.972,290983
0.949039,0.655,0.0860603,1,10000,321.432,290494
0.949039,0.665,0.0862062,1,10000,320.888,290003
0.949039,0.675,0.0863535,1,10000,320.34,289508
0.949039,0.685,0.0865024,1,10000,319.789,289010
0.949039,0.695,0.0866528,1,10000,319.234,288508
0.949039,0.705,0.0868048,1,10000,318.675,288003
0.949039,0.715,0.0869584,1,10000,318.112,287494
0.949039,0.725,0.0871136,1,10000,317.545,286982
0.949039,0.735,0.0872704,1,10000,316.975,286467
0.949039,0.745,0.0874288,1,10000,316.4,285947
0.949039,0.755,0.087589,1,10000,315.822,285425
0.949039,0.765,0.0877508,1,10000,315.24,284898
0.949039,0.775,0.0879143,1,10000,314.653,284368
0.949039,0.785,0.0880796,1,10000,314.063,283835
0.949039,0.795,0.0882466,1,10000,313.468,283297
0.949039,0.805,0.0884154,1,10000,312.87,282757
